energy_ev,selected_grazing_angle_deg,order,efficiency,diffraction_angle_deg,retry_triggered,retry_attempts,retry_status,selected_efficiency_is_exact_zero,selected_efficiency_below_retry_threshold,theta_tracking_center_mode,theta_tracking_auto_classification,theta_tracking_previous_energy_ev,theta_tracking_previous_grazing_angle_deg,theta_tracking_used_previous_theta,theta_tracking_bragg_fallback_triggered,theta_tracking_continuity_rejected,precise_peak_selection_mode_requested,precise_peak_selection_mode_used,precise_peak_fit_fallback_used,precise_peak_fitted_center_deg,precise_peak_fitted_fwhm_deg
530.0,13.36040236818608,-2,0.0005547578661672537,15.907083691232344,1,3,retry_exhausted,0,1,bragg,initial,,,0,0,0,voigt,voigt,0,13.36040236818608,0.5161158608872974
530.0,13.36040236818608,-1,4.139763822235023e-06,14.687832380253809,1,3,retry_exhausted,0,1,bragg,initial,,,0,0,0,voigt,voigt,0,13.36040236818608,0.5161158608872974
530.0,13.36040236818608,0,8.39148160583944e-06,13.360402368186072,1,3,retry_exhausted,0,1,bragg,initial,,,0,0,0,voigt,voigt,0,13.36040236818608,0.5161158608872974
530.0,13.36040236818608,1,1.0600337149438625e-08,11.88859889752382,1,3,retry_exhausted,0,1,bragg,initial,,,0,0,0,voigt,voigt,0,13.36040236818608,0.5161158608872974
530.0,13.36040236818608,2,1.8941981169187286e-05,10.210161470567726,1,3,retry_exhausted,0,1,bragg,initial,,,0,0,0,voigt,voigt,0,13.36040236818608,0.5161158608872974
530.0,13.36040236818608,3,6.549142419716917e-05,8.199138649621048,1,3,retry_exhausted,0,1,bragg,initial,,,0,0,0,voigt,voigt,0,13.36040236818608,0.5161158608872974
530.0,13.36040236818608,4,8.907471697555122e-05,5.502172361706386,1,3,retry_exhausted,0,1,bragg,initial,,,0,0,0,voigt,voigt,0,13.36040236818608,0.5161158608872974
530.0,13.36040236818608,5,0.0,0.0,1,3,retry_exhausted,0,1,bragg,initial,,,0,0,0,voigt,voigt,0,13.36040236818608,0.5161158608872974
530.0,13.36040236818608,6,0.0,0.0,1,3,retry_exhausted,0,1,bragg,initial,,,0,0,0,voigt,voigt,0,13.36040236818608,0.5161158608872974
530.0,13.36040236818608,7,0.0,0.0,1,3,retry_exhausted,0,1,bragg,initial,,,0,0,0,voigt,voigt,0,13.36040236818608,0.5161158608872974
530.0,13.36040236818608,8,0.0,0.0,1,3,retry_exhausted,0,1,bragg,initial,,,0,0,0,voigt,voigt,0,13.36040236818608,0.5161158608872974
530.0,13.36040236818608,9,0.0,0.0,1,3,retry_exhausted,0,1,bragg,initial,,,0,0,0,voigt,voigt,0,13.36040236818608,0.5161158608872974
530.0,13.36040236818608,10,0.0,0.0,1,3,retry_exhausted,0,1,bragg,initial,,,0,0,0,voigt,voigt,0,13.36040236818608,0.5161158608872974
530.0,13.36040236818608,11,0.0,0.0,1,3,retry_exhausted,0,1,bragg,initial,,,0,0,0,voigt,voigt,0,13.36040236818608,0.5161158608872974
530.0,13.36040236818608,12,0.0,0.0,1,3,retry_exhausted,0,1,bragg,initial,,,0,0,0,voigt,voigt,0,13.36040236818608,0.5161158608872974
530.0,13.36040236818608,13,0.0,0.0,1,3,retry_exhausted,0,1,bragg,initial,,,0,0,0,voigt,voigt,0,13.36040236818608,0.5161158608872974
530.0,13.36040236818608,14,0.0,0.0,1,3,retry_exhausted,0,1,bragg,initial,,,0,0,0,voigt,voigt,0,13.36040236818608,0.5161158608872974
530.0,13.36040236818608,15,0.0,0.0,1,3,retry_exhausted,0,1,bragg,initial,,,0,0,0,voigt,voigt,0,13.36040236818608,0.5161158608872974
540.0,12.925922690279883,-15,8.283691893887535e-09,26.873491909116098,0,0,not_needed,0,0,tracked_previous,auto_dense,520.0,13.576636682600693,1,0,0,voigt,voigt,0,12.925922690279883,0.2437598466801634
540.0,12.925922690279883,-14,3.1777613626712138e-09,26.166419628090573,0,0,not_needed,0,0,tracked_previous,auto_dense,520.0,13.576636682600693,1,0,0,voigt,voigt,0,12.925922690279883,0.2437598466801634
540.0,12.925922690279883,-13,3.276088045601579e-09,25.441123102829266,0,0,not_needed,0,0,tracked_previous,auto_dense,520.0,13.576636682600693,1,0,0,voigt,voigt,0,12.925922690279883,0.2437598466801634
540.0,12.925922690279883,-12,2.191511415005403e-08,24.695989938572154,0,0,not_needed,0,0,tracked_previous,auto_dense,520.0,13.576636682600693,1,0,0,voigt,voigt,0,12.925922690279883,0.2437598466801634
540.0,12.925922690279883,-11,9.130069116951877e-09,23.92916019179556,0,0,not_needed,0,0,tracked_previous,auto_dense,520.0,13.576636682600693,1,0,0,voigt,voigt,0,12.925922690279883,0.2437598466801634
540.0,12.925922690279883,-10,1.0666863780870117e-08,23.138469718047787,0,0,not_needed,0,0,tracked_previous,auto_dense,520.0,13.576636682600693,1,0,0,voigt,voigt,0,12.925922690279883,0.2437598466801634
